;Title;Date;Time;Score;Number of Comments
353;Students protest teachers firing, given detentions and suspensions.;4/14/2017;5:50:50;38;8
354;Ballooning bills - More U.S. hospitals pushing patients to pay before care;4/13/2017;17:53:45;316;160
355;Chechens tell of prison beatings and electric shocks in anti-gay purge: They called us animals;4/13/2017;20:47:58;176;2
356;Four people shot aboard metro transit train in Atlanta;4/14/2017;3:07:23;50;13
357;Family of former Tenn. teacher accused of kidnapping student: Daddy...we just want you to come home;4/14/2017;12:00:20;10;3
358;Police: No signs of criminality in New York judges death;4/13/2017;17:16:42;314;104
359;Trumps Mar-a-Lago kitchen cited for food safety violations - BBC News;4/13/2017;20:30:55;155;38
360;Scientists Announce That The Great Barrier Reef is Officially Terminal;4/13/2017;3:44:59;3669;496
361;Delta Airlines gives family $14,600 for being bumped off short flight;4/13/2017;7:51:01;1578;324
362;Boy, 8, drives sister, 4, to McDonalds for a cheeseburger, doesnt hit anything on the way;4/13/2017;0:05:13;15370;882
363;Nigerias anti-corruption unit finds $43 million cash in Lagos apartment;4/14/2017;10:59:09;11;2
364;The bodies of four men, all described as having suffered significant trauma, were discovered in a park in a suburban New York neighborhood that has for years contended with a growing problem of gang violence.;4/13/2017;18:10:14;212;109
365;Detroit-Area Doctor Charged With Performing Female Genital Mutilation - First Ever Charged under Statute;4/13/2017;20:01:59;149;47
366;Attorney for United Airlines passenger Dao says there will probably be a lawsuit;4/13/2017;20:09:50;141;150
367;Satellite photos show North Korean nuclear site primed and ready;4/13/2017;11:37:42;690;347
368;North Korea: Photos of new Ryomyong street complex that is scarier than hundreds of nuclear bombs;4/14/2017;9:02:26;13;8
369;Target recalls Easter toys due to serious ingestion hazard;4/14/2017;12:21:27;6;3
370;Nurses grant dying man final wish  a cigarette and glass of wine;4/14/2017;2:06:28;44;22
371;Dozens of Passengers Stuck on Six Flags Coaster;4/14/2017;2:31:50;45;8
372;New Pulse review from Orlando police reveals details, lessons learned;4/14/2017;15:02:44;4;0
373;The legal battle to stop Arkansas 7 executions in 10 days.;4/14/2017;8:49:08;11;0
374;S. Korea probes possible meth-smuggling ring involving US soldiers;4/14/2017;10:31:05;8;3
375;Sexual Abuse at Choate Went on for Decades, School Acknowledges;4/14/2017;5:18:44;21;10
376;Delaware airmen charged with sexually abusing runaway girl;4/14/2017;7:05:36;16;1
377;Charlie Murphy dead at 57 after battle with leukaemia.;4/12/2017;21:19:03;39283;1066
378;Alabama Real Estate Investor Sentenced for Bid Rigging and Fraud at Public Foreclosure Auctions;4/14/2017;2:30:58;31;0
379;15-year-old boy arrested for reportedly starting Clarksville fire that caused $500,000 in damage;4/14/2017;8:22:03;10;4
380;Pakistan: Mardan university student lynched by mob over alleged blasphemy: police;4/13/2017;19:58:56;100;28
381;A Samsung Group building evacuated on report of explosives: media;4/14/2017;7:38:51;12;6
382;Man dies after slashing own throat in Glasgow city centre;4/14/2017;2:09:59;28;7
383;Governor Doug Ducey signed into law on Wednesday sweeping reforms that will make it tougher for law enforcement agencies to seize cash and property in investigations.;4/13/2017;4:25:30;1536;91
384;Parents protest bullying at area h.s., after recent suicide;4/14/2017;5:45:52;14;2
385;Brilliant innovations in our Justice system are underway - the 2017 HiiL Justice Challenge (Amsterdam) showcases this;4/14/2017;19:54:12;1;0
386;European Court finds Russian security forces violated human rights laws when they used flamethrowers, tank cannon, and grenade launchers in a failed attempt to rescue over 1,000 hostages in the 2004 Beslan school siege which left over 330 dead, most of whom were children.;4/13/2017;21:14:33;62;12
387;North Korean Official: Situation in a Vicious Cycle;4/14/2017;7:38:00;8;7
388;MARTA: 4 people shot at West Lake station;;;;
389;Mexican authorities arrest suspect in killing of U.S. Border Patrol Agent Brian Terry;4/14/2017;0:24:27;31;5
390;Huddersfield child sex inquiry sees 29 in court - BBC News;4/13/2017;16:07:53;148;52
391;1 killed, 3 injured in Atlanta transit train shooting;4/14/2017;6:40:40;9;2
392;Evacuation begins in besieged Syria towns;4/14/2017;9:20:30;6;2
393;Parole board grants White Boy Rick Wershe public hearing for potential release;4/14/2017;18:57:36;1;0
394;Legendary flight director praises SpaceX for taking risks;4/14/2017;3:25:23;18;0
395;Burger King advert sabotaged on Wikipedia;4/14/2017;18:46:06;0;0
396;Researchers name loud shrimp after Pink Floyd;4/13/2017;21:29:49;49;14
397;Worlds largest carbon capture plant opening in Richmond, Texas;4/13/2017;17:50:11;98;21
398;Pittsburgh Steelers Chairman Dan Rooney Dies At Age 84;4/14/2017;0:19:23;33;3
399;Buffett foundation unveils $90M plan to help girls of color.;4/13/2017;23:04:17;35;15
400;Smoking to kill 200 million in China this century: WHO;4/15/2017;18:56:30;5763;713
401;North Miami cop charged in shooting of autistic mans unarmed therapist;4/15/2017;19:35:07;1656;190
402;Assad retains hundreds of tons of chemical weapons, says defected general;4/15/2017;16:39:55;1048;307
403;USAA sets $16 minimum wage, expands parental leave benefits;4/15/2017;20:08:06;514;57
404;Last person born in 1800s dies at 117;4/15/2017;21:19:53;312;54
405;2 Arrested for Smuggling Used Bottles, Cans into California for Recycling Fee;4/15/2017;19:28:35;315;54
406;Penn Station: 16 injured in stampede over false reports of gunfire;4/15/2017;18:23:57;365;74
407;Afghan official: Massive US bomb death toll rises to 94;4/15/2017;19:34:21;185;60
408;Ahead of referendum, Europeans boycott Turkey and tourism suffers;4/15/2017;16:37:28;293;42
409;White House Says It Will No Longer Release Visitor Logs To The Public;4/14/2017;23:35:30;12542;1095
410;Sri Lanka rubbish dump collapse kills 19;4/15/2017;19:06:36;139;21
411;One broadband choice counts as competition in new FCC proposal;4/15/2017;3:19:03;2480;244
412;Former Defense Secretary William Perry on why we didnt go to war with North Korea;4/15/2017;19:01:09;127;49
413;Former Laurel Wal-Mart manager charged with staging $400,000 store robbery in which he was shot;4/15/2017;18:43:03;121;18
414;Major Leak Suggests NSA Was Deep in Middle East Banking System;4/15/2017;3:17:45;1424;207
415;Pope Francis expresses shame over Catholic church sexual abuse scandals;4/15/2017;12:01:26;232;36
416;Pharmaceutical giant plotted to destroy cancer drugs to drive prices up 4000%;4/14/2017;16:49:11;67586;6310
417;Delta Airlines reaffirms policy to pay passengers if overbooked and raises the compensation offered.;4/15/2017;2:22:48;1296;181
418;Texas court wont release affluenza defendant from jail;4/15/2017;6:23:57;595;131
419;The U.S. Navy is banning vaping on ships after at least a dozen reports of explosions and injuries.;4/14/2017;22:47:15;2211;455
420;Man with stalking-like behavior hides in shed;;;;
421;Teacher Wanted On Child Porn Charges Kills Self;4/15/2017;3:49:57;708;321
422;Man playing traffic cop pulls over unmarked police car;4/15/2017;2:48:45;693;78
423;Crackdowns against dissidents sign of weakened democracy in African nations;4/15/2017;16:11:28;55;1
424;WikiLeaks: ISIS Tunnels Blown Up By MOAB Were Built By CIA;4/14/2017;20:03:42;2489;796
425;Couple finds out are biological twins during ivf treatment;4/15/2017;22:24:59;15;11
426;Man tries to sue Scienceworks after breaking his back trying to outrun Olympic gold medallist Cathy Freeman;4/15/2017;13:03:00;87;95
427;Police: Burglar breaks into home, cooks fried chicken;4/15/2017;16:43:23;41;30
428;OKC woman who used witch persona in child abuse sentenced to three life terms;4/15/2017;22:22:01;13;0
429;Judge dismisses federal lawsuit filed by man whose drone was shot down by Bullitt County resident;4/15/2017;20:41:01;18;14
430;NSAs Windows Hacking Tools Leaked, Millions of Users Exposed;4/15/2017;2:03:48;524;50
431;Cleveland police officer fired and charged with gross sexual imposition after illegally pulling over two young women and sexually assaulting them with sex toy;4/15/2017;10:46:17;101;28
432;Venezuela Staves Off Default, but Low Oil Prices Pose a Threat;4/15/2017;19:01:43;22;0
433;Turkey probes senator, ex-CIA director over links to cleric;4/15/2017;16:40:36;29;3
434;1,100 strangers showed up at his home for sex. He blames Grindr;4/15/2017;4:14:01;268;81
435;First Womens Mosque Founded in Northern California;4/15/2017;19:10:45;17;4
436;Judge praises former LDS bishop, while sentencing him for rape, as victim listens;4/14/2017;17:52:03;1708;326
437;700 Immigrants On Hunger Strike at For-Profit Prison to Protest Conditions & $1/Day Wages;4/14/2017;21:10:11;880;743
438;April the giraffe is in active labor;4/15/2017;16:02:13;25;19
439;Family devastated at student stab attack;4/15/2017;19:49:25;14;4
440;Health Giant Sues State of Arkansas as Federal Judge Issues Injunction;4/15/2017;21:12:03;9;1
441;Black Lives Matter group posts bail for black mothers who can not afford bail.;4/15/2017;7:05:51;111;144
442;Teacher awarded almost half a million pounds after being hit over head with skate board by violent pupil;4/15/2017;11:19:34;50;7
443;US claims success in test drop of upgraded nuclear weapon;4/15/2017;15:23:21;22;8
444;Oil spill reported in Alaska, volume unknown;4/15/2017;2:42:30;226;42
445;The last living person born in the 1800s, Emma Morano, has died at the age of 117.;4/15/2017;22:13:15;7;2
446;Heroin Crisis: Nevada becomes first state with syringe vending machines;4/15/2017;2:17:41;232;90
447;Facebook targets 30,000 fake France accounts before election;4/14/2017;19:14:37;782;325
448;Scientists just found a strange and worrying crack in one of Greenlands biggest glaciers;4/15/2017;0:06:59;305;36
449;A Florida waiter is accused of stealing a $3,000 diamond ring that fell off a customers finger.;4/15/2017;20:26:20;7;4
450;British Woman Stabbed to Death in Israel;4/14/2017;15:50:45;1357;611
451;Dorm debate led to death in Pakistan blasphemy killing: witnesses;4/14/2017;22:06:05;417;279
452;Former Patriots TE Aaron Hernandez found not guilty in Boston double murder;4/14/2017;23:18:51;315;136
453;Schools in West Virginia will be able to give drugs to students who overdose on opioids without having to first contact parents under a new law approved this week;4/14/2017;23:25:51;311;81
454;Final push ahead of landmark Turkey vote;4/15/2017;19:38:45;6;6
455;U.S. judge puts hold on Arkansas plan for successive executions;4/15/2017;22:38:00;5;0
456;Hackers release files indicating NSA monitored global bank transfers;4/15/2017;0:49:18;218;20
457;1996 Washington school shooter apologizes in his 1st remarks;4/15/2017;22:29:14;3;1
458;Korean president refuses to go jail until they put up new wallpaper;4/14/2017;18:56:07;605;120
459;Courts Block 7 Executions Set For 11-Day Span In Arkansas;4/15/2017;4:40:53;98;18
460;Pet dog dies saving woman from knife-wielding intruder in Mumbai;4/14/2017;22:08:58;318;11
461;Texas issues mumps advisory: Cases reach 20-year high;4/14/2017;18:39:43;587;68
462;San Jose State Police Accused Of Assault, Putting Bag Over Students Head;4/15/2017;4:23:43;91;6
463;US military taking climate change into account in food and energy security;4/15/2017;5:47:06;69;1
464;Russian warships escorted through the English Channel tonight- for the third time in six months;4/15/2017;20:49:05;4;2
465;Boston marks 4th Anniversary of Marathon bombings with One Boston Day.;4/15/2017;21:51:14;2;0
466;Video: Driver of van seen trying to hit 3 bicyclists in Elyria;4/15/2017;21:41:05;2;1
467;Huge military parade showcases submarine-based missiles for first time;4/15/2017;16:45:04;6;1
468;Two dead, one injured in shooting Tucson mall;4/15/2017;9:50:24;24;6
469;Modest 90th birthday party planned for retired pope;4/15/2017;19:16:02;4;2
470;Police: Oregon father kills two young daughters, self;4/15/2017;14:51:23;8;4
471;North Korea displays submarine-based missiles for first time at military parade;4/15/2017;7:15:57;36;21
472;Hennepin County(which hosts Minneapolis, Minnesota) Measles Outbreak now includes eight children.;4/15/2017;11:09:49;18;2
473;10 year old autistic boy served with warrant at school and arrested on third degree felony charges after months long suspension for kicking a teacher.;4/14/2017;22:33:17;178;132
474;Golden Gate Bridge suicide barriers going up after 1,500 deaths;4/14/2017;17:28:35;441;262
475;Oregons first pot friendly campground? It could be Smoke on the Water Lake Selmac;4/15/2017;7:30:34;34;8
476;Chechnya anti-gay violence: Newspaper fears retribution for reports;4/14/2017;19:42:26;270;78
477;Self-serve kiosks to replace food staff at SUNY Orange;4/15/2017;8:39:31;26;15
478;Borussia Dortmund bombs: Letters at scene not from Islamists;4/15/2017;5:30:34;41;10
479;New report says tech companies spy on students in school;4/14/2017;22:10:39;160;16
480;Child Protection Petitions Filed for 2 Girls Authorities Say Were Brought to Michigan for Genital Mutilation;4/15/2017;5:30:39;42;1
481;Olympic swimmer races six months pregnant;4/15/2017;21:36:56;3;0
482;An Australian woman birthed a 13-pound baby. What are the health risks?;4/15/2017;21:25:12;0;5
483;Saudi woman on way to Australia for asylum kidnapped by family;4/14/2017;20:07:08;210;33
484;Airman paid $20 for a girl, kept in dorm for sex, feds say;4/15/2017;8:32:19;20;10
485;Large asteroid to hurtle past Earth on April 19;4/15/2017;2:24:27;62;25
486;Arkansas judge blocks use of lethal injection drug ahead of scheduled executions;4/15/2017;6:04:28;32;0
487;Todd Heap accidentally hit, killed young daughter with truck Friday;4/15/2017;10:34:30;14;6
488;Inmate spent nearly two days in restraint chair prior to death;4/14/2017;23:32:14;99;12
489;Choate prep school investigation uncovers decades of sexual abuse;4/14/2017;18:19:42;252;35
490;Defiant, Generic Drug Maker Continues to Raise Prices;4/15/2017;2:19:05;52;3
491;Two types of the teething products, which previously were linked to the deaths of 10 children, have been recalled, the Food and Drug Administration announced on Thursday.;4/15/2017;8:31:47;15;1
492;A longtime New Jersey high school teacher who called a student a loser in a Facebook post has had her teaching license suspended for two years.;4/14/2017;19:50:06;162;29
493;DELTA OKs Offers Of Up To $9,950 To Flyers Who Give UP Sseats;4/14/2017;22:28:13;95;58
494;Riots, looting in Venezuela;;;;
495;Boy dies after getting head stuck in wall of spinning restaurant;4/15/2017;7:13:00;19;64
496;Alcohol Ban Succeeds as Women Warn, Behave, or Well Get Tough;4/15/2017;23:04:40;1;1
497;UPS driver credited with saving woman and daughter from house fire;4/15/2017;0:33:43;66;8
498;Trains delayed by cows on the line in Kent - BBC News;4/15/2017;23:01:47;0;1
499;US troops to help Somalia fight al-Shabab - BBC News;4/15/2017;4:50:26;30;4
500;Days after two officers in suburban Atlanta were fired when videos surfaced showing them kicking and punching a motorist, authorities have reportedly dismissed nearly 90 cases involving the pair.;4/16/2017;15:32:36;36497;2290
501;United Staff Will No Longer Take Seats of Boarded Passengers;4/16/2017;21:31:10;577;176
502;OReillys Behavior Said to Have Helped Drive Megyn Kelly Out at Fox;4/16/2017;17:17:15;625;65
503;North Korea attempts but fails to launch missile: South Korea;4/16/2017;3:03:53;20610;1411
504;Geography teacher cleared of raping pupil says men should stay away from teaching;4/16/2017;19:42:40;309;339
505;Cleveland Police investigating shooting broadcasted on Facebook Live;4/17/2017;0:19:10;123;96
506;USS Arizona survivor laid to rest inside sunken battleship;4/16/2017;15:17:39;536;22
507;Another journalist is gunned down in Mexico  the fourth in just six weeks;4/16/2017;14:52:26;451;48
508;Bride and groom booted off United flight in Houston;4/16/2017;19:39:44;174;126
509;White supremacist allegedly caught on video punching a woman in the face at a protest;4/16/2017;19:50:01;118;1051
510;Pot arrests continue in Massachusetts, even after legalization;4/16/2017;3:32:00;2410;277
511;Terry Jones: Ive got dementia. My frontal lobe has absconded;4/16/2017;20:36:51;94;9
512;Last person born in 1800s dies at 117;4/15/2017;21:19:53;23403;1094
513;Shaq pays for funeral of teen who accidentally killed himself on Instagram;4/16/2017;4:50:43;1675;585
514;Man dies during lap dances at strip club;4/16/2017;19:32:51;100;45
515;3 teenagers, 1 infant shot at Alabama churchs Easter carnival;4/16/2017;17:41:31;113;61
516;Remains of five lost Archbishops of Canterbury found;4/16/2017;16:02:45;150;14
517;Army charges retired major general with rape against a minor in the 1980s;4/16/2017;15:23:19;159;53
518;Smoking to kill 200 million in China this century: WHO;4/15/2017;18:56:30;22902;2714
519;A Saudi womans plea for help exposes risks runaways face;4/16/2017;17:03:13;113;49
520;North Miami cop charged in shooting of autistic mans unarmed therapist;4/15/2017;19:35:07;8374;606
521;Police shot and Killed Army Veterans Service Dog;4/16/2017;6:19:13;656;230
522;Forcibly reptriated Saudi woman: My family will kill me;4/16/2017;19:33:19;46;2
523;USAA sets $16 minimum wage, expands parental leave benefits;4/15/2017;20:08:06;3737;304
524;North Korea nuclear: US working with China on response;4/16/2017;20:47:43;32;9
525;Delta Air Lines increases passenger compensation to $13k after dragging debacle;4/16/2017;2:37:16;858;188
526;P.E.I. familys 10-year-old son bumped from overbooked Air Canada flight;4/16/2017;21:04:54;28;5
527;James Bond star Clifton James dies aged 96;4/16/2017;17:51:11;44;6
528;Bill Seeks to Enlist New York Hotels to Help Fight Sex Trafficking;4/16/2017;18:49:59;32;4
529;Syria war: At least 68 children among 126 killed in bus bombing;4/16/2017;18:09:28;33;3
530;Right, left-wing protesters clash in Berkeley, California park;4/16/2017;0:33:08;902;2533
531;Violent mob targets mentally ill man in Karachi, Pakistan;4/16/2017;21:02:08;20;4
532;Levaquin Antibiotics: Some Plaintiffs affected by serious Side Effects got Millions of Dollars. Lawyers Claim Pharmaceutical Company Knew Of Drug Risks.;4/16/2017;21:40:57;17;3
533;Underwater gas pipeline in Alaska fixed after leaking for almost 5 months.;4/16/2017;5:08:30;355;36
534;Apples cash hoard swells to record $246.09 billion;4/16/2017;4:29:10;304;352
535;Erdogan ahead in Turkey referendum.;4/16/2017;19:32:23;16;9
536;Snapchat ratings drop to one star on App Store after Evan Spiegels poor countries like India comment;4/16/2017;16:03:25;35;35
537;9 wounded in Ohio club shooting, police say;4/16/2017;14:13:36;46;18
538;All-male panel ruled on rape bill during Marylands legislative session;4/16/2017;17:39:43;24;42
539;New York state allots $1M to create hate crimes task force;4/16/2017;21:41:18;10;6
540;Thomas Klocke took his own life last June after he was accused of sexual misconduct. His father has filed a lawsuit claiming the university violated Title IX and discriminated against his son.;4/16/2017;10:58:35;72;15
541;Iraq: Islamic State launches chlorine gas attacks in western Mosul;4/16/2017;5:54:40;180;59
542;2 Arrested for Smuggling Used Bottles, Cans into California for Recycling Fee;4/15/2017;19:28:35;1216;225
543;Man to be arraigned, accused of shining laser in eyes of MSP trooper;4/16/2017;23:21:53;7;4
544;Turkey referendum: Erdogan wins vote to expand presidential powers.;4/17/2017;1:03:00;4;2
545;A Montana State University professor is suing Wal-Mart for libel after he says an employee at the Bozeman store listed his occupation on a fishing license as a toilet cleaner.;4/16/2017;5:02:05;193;135
546;Woman robs five banks in 24 hours.;4/16/2017;5:22:27;178;70
547;Sylvester Stallone sues greedy film studio - BBC News;4/16/2017;19:58:39;13;5
548;Assad retains hundreds of tons of chemical weapons, says defected general;4/15/2017;16:39:55;1846;487
549;ATFs focus on firearm sales by police may be tied to gun seizure at Pasadena officers home;4/16/2017;17:19:26;19;11
550;California Man Accused Of Giving Co-Worker Cannabis-Laced Chocolate Bar;4/16/2017;23:58:11;4;7
551;22,000 years of history evaporates after freezer failure melts Arctic ice cores;4/17/2017;0:57:48;6;0
552;Members of International Child Exploitation Conspiracy Plead Guilty;4/16/2017;17:44:41;15;0
553;India to get building higher than Dubais Burj Khalifa;4/16/2017;20:06:33;8;7
554;Mexico revives ancient ball game;4/16/2017;8:02:21;72;32
555;Alaska oil well leaking gas in northern part of state. The Environmental Protection Agency says a crack in a BP wellhead near Deadhorse sent up mist of crude oil Friday before it froze over and an initial leak stopped.;4/16/2017;7:52:46;73;5
556;Penn Station: 16 injured in stampede over false reports of gunfire;4/15/2017;18:23:57;774;193
557;Guns, Military Shells Seized From Cohasset (MA) Home;4/16/2017;15:02:20;17;33
558;Oregon citys dog ban condemned as crackdown on homeless people;4/16/2017;3:41:02;135;62
559;Internet, computer pioneer Robert W Taylor dies;4/16/2017;17:14:50;10;1
560;Afghan official: Massive US bomb death toll rises to 94;4/15/2017;19:34:21;574;290
561;Man arrested after hitting child for eating the last breadstick;4/16/2017;5:26:03;89;45
562;2 arrested for allegedly smuggling $20,000 worth of recyclables into California;4/16/2017;15:27:59;15;9
563;Florida police officer arrested in shooting of unarmed black man;4/16/2017;7:38:47;61;21
564;Sex for rent housing adverts have sprung up online.;4/16/2017;10:45:42;31;43
565;Son of officer slain in 2007 fatally shot Friday night - Baltimore Sun;4/16/2017;15:31:53;12;1
566;Turkey launches investigation into 17 US politicians, bureaucrats and academics over last years attempted coup;4/16/2017;2:54:22;134;30
567;Hikers savor final days of access to popular trail near Hollywood sign as some locals protest closure;4/16/2017;16:25:55;10;7
568;Madison county covered bridge burns, arson suspected;4/17/2017;1:01:56;4;1
569;Navy SEAL Being Investigated For Starring In Dozens Of Porn Videos;4/16/2017;11:10:38;22;38
570;Mexican governor accused of embezzling billions detained in Guatemala;4/16/2017;12:27:05;16;1
571;Officials in small town Iowa trying to stop rumors from spreading by hosting rumor sessions.;4/16/2017;22:05:40;4;3
572;Three teens and a baby were injured in a shooting during a carnival outside an Alabama church.;4/16/2017;9:17:50;32;7
573;Couple bring mans three grandchildren to heroin deal;4/16/2017;15:26:09;9;5
574;2,000 people rescued off the coast of Libya so far this weekend;4/16/2017;10:23:37;20;4
575;Former Laurel Wal-Mart manager charged with staging $400,000 store robbery in which he was shot;4/15/2017;18:43:03;352;57
576;Sri Lanka rubbish dump collapse kills 19;4/15/2017;19:06:36;322;37
577;Pope presides over solemn Easter Vigil amid security fears;4/16/2017;15:25:23;8;3
578;OKC woman who used witch persona in child abuse sentenced to three life terms;4/15/2017;22:22:01;159;26
579;Former Defense Secretary William Perry on why we didnt go to war with North Korea;4/15/2017;19:01:09;264;149
580;4 injured in shooting at Alabama church carnival;4/16/2017;10:14:47;17;2
581;Parents oblige 3-year-old who wanted a poop-themed birthday party;4/16/2017;15:30:41;5;7
582;Christian man tortured in Pakistan for befriending Muslim woman;4/17/2017;1:13:21;0;0
583;Man arrested after police found drunk dog;4/16/2017;10:15:54;15;2
584;Thousands of migrants saved from Mediterranean Sea for second day;4/16/2017;16:10:27;3;0
585;Judge dismisses federal lawsuit filed by man whose drone was shot down by Bullitt County resident;4/15/2017;20:41:01;138;95
586;Protesters target Fremont County Sheriffs Office;4/16/2017;10:18:09;12;0
587;White House Says It Will No Longer Release Visitor Logs To The Public;4/14/2017;23:35:30;12812;1198
588;Fake landlord advertised his home on Gumtree and took deposits  then pretended his son had cancer;4/16/2017;3:57:22;28;3
589;One broadband choice counts as competition in new FCC proposal;4/15/2017;3:19:03;2717;282
590;Far-right group claims responsibility for Dortmund bus blast;4/16/2017;0:32:34;49;33
591;Pop star investigated by police over claims he raped 14-year-old girl after she was picked out of crowd at a concert in 1970s;4/16/2017;21:28:53;2;14
592;Iraq forces make Mosul gains, but anti-IS war far from over;4/16/2017;13:49:44;5;4
593;Walmart is in advanced talks to acquire online mens retailer Bonobos;4/16/2017;4:32:42;24;1
594;Suspect arrested in killing of jogger Vanessa Marcotte;4/16/2017;4:00:46;25;2
595;UK coming together after Brexit - PM;4/16/2017;13:04:13;3;2
596;Pope Francis expresses shame over Catholic church sexual abuse scandals;4/15/2017;12:01:26;348;59
597;Turkey referendum: Historic vote on presidential powers under way;4/16/2017;8:10:36;7;5
598;Major Leak Suggests NSA Was Deep in Middle East Banking System;4/15/2017;3:17:45;1544;253
599;Toilet Paper Bandit steals from neighbor while out of town;4/16/2017;5:31:19;13;6
600;Court Upholds $300,000 Fine After Trump Refuses to Pay Miami Paint Store;4/17/2017;3:13:51;15941;1425
601;Cleveland Police investigating shooting broadcasted on Facebook Live;4/17/2017;0:19:10;31754;13421
602;Alex Jones Defense in Upcoming Custody Battle Is That Hes a Fake;4/17/2017;8:33:30;1223;290
603;United Staff Will No Longer Take Seats of Boarded Passengers;4/16/2017;21:31:10;10262;1328
604;Delta will now pay you up to $10,000 to give up your seat on an overbooked flight.;4/17/2017;9:20:27;483;88
605;20 Shot, 3 Die in Easter Weekend Shootings in Philadelphia;4/17/2017;16:00:35;135;52
606;US and South Korea agree early deployment of THAAD missile defence system;4/17/2017;13:09:17;172;25
607;Days after two officers in suburban Atlanta were fired when videos surfaced showing them kicking and punching a motorist, authorities have reportedly dismissed nearly 90 cases involving the pair.;4/16/2017;15:32:36;41819;2621
608;Christian man tortured in Pakistan for befriending Muslim woman;4/17/2017;1:13:21;1305;368
609;Median retirement savings for families between 44 and 49 is $6200;4/17/2017;6:44:01;312;289
610;Indian hacker group leaks data of 1.7 million Snapchat users after CEOs poor country comments: Report;4/17/2017;16:09:31;57;15
611;Turkey referendum: Erdogan wins vote to expand presidential powers.;4/17/2017;1:03:00;735;141
612;3 police officers arrested for drunk driving in 1 night;4/17/2017;17:03:58;36;5
613;Geography teacher cleared of raping pupil says men should stay away from teaching;4/16/2017;19:42:40;1749;1125
614;Second ICE Detainee at Adelanto Detention Center Dies in as Many Weeks;4/17/2017;6:03:54;212;45
615;North Korean official: Were ready for war if Trump wants it.;4/17/2017;7:07:48;175;83
616;22,000 years of history evaporates after freezer failure melts Arctic ice cores;4/17/2017;0:57:48;522;95
617;$43M in cash found in empty Nigerian apartment;4/17/2017;7:56:59;138;33
618;Toxic chemical spill closes Atlanta freeway;4/17/2017;14:12:36;38;8
619;China and Russia have dispatched spy vessels to shadow a US aircraft carrier group heading to North Korean waters;4/17/2017;10:10:53;70;15
620;Unprecedented migrant situation in the Mediterranean;4/17/2017;12:15:02;47;6
621;The North Korea problem is coming to a head, McMaster says;4/17/2017;2:45:46;267;198
622;OReillys Behavior Said to Have Helped Drive Megyn Kelly Out at Fox;4/16/2017;17:17:15;1322;131
623;Bride and groom booted off United flight in Houston;4/16/2017;19:39:44;727;373
624;Brown University to drop fee for low-income applicants;4/17/2017;6:16:11;95;15
625;IRS Just Hired Private Debt Collection Agencies to Chase Down Your Debt;4/17/2017;16:21:29;15;10
626;Plane crashes into Lidl supermarket in Portugal;4/17/2017;16:39:43;13;7
627;Terry Jones: Ive got dementia. My frontal lobe has absconded;4/16/2017;20:36:51;440;45
628;Pence arrives at U.S. base in South Korea next to DMZ border with North;4/17/2017;5:05:55;88;17
629;USS Arizona survivor laid to rest inside sunken battleship;4/16/2017;15:17:39;901;37
630;NASA astronauts space treasure map sparks hunt for Caribbean wrecks;4/17/2017;14:15:53;13;2
631;North Korea attempts but fails to launch missile: South Korea;4/16/2017;3:03:53;20922;1459
632;Forcibly reptriated Saudi woman: My family will kill me;4/16/2017;19:33:19;310;44
633;Another journalist is gunned down in Mexico  the fourth in just six weeks;4/16/2017;14:52:26;716;86
634;Verify: False information circulating in Steve Stephens manhunt;4/17/2017;17:23:19;4;2
635;White supremacist allegedly caught on video punching a woman in the face at a protest;4/16/2017;19:50:01;253;2274
636;Protesters rally in Istanbul over referendum result;4/17/2017;14:39:05;7;1
637;North Koreas missile launch may have been thwarted by US cyber attack;4/17/2017;3:22:09;58;53
638;Palestinians in Israeli jails hold mass hunger strike;4/17/2017;12:08:24;12;11
639;Woman charged after Waffle House outburst, kidnapping;4/17/2017;17:54:31;6;0
640;US sends F-35 stealth fighters to UK to reassure Europe against Russian aggression;4/17/2017;16:35:42;5;5
641;Four die as light aircraft crashes in Portugal;4/17/2017;17:47:08;3;1
642;Vietnamese village holds police, officials hostage over land dispute;4/17/2017;16:15:50;6;1
643;Judges call to reduce court delays in child-protection cases;4/17/2017;15:16:11;5;0
644;Shots fired at Revere Carnival, police searching for shooter;4/17/2017;5:16:24;34;7
645;3 teenagers, 1 infant shot at Alabama churchs Easter carnival;4/16/2017;17:41:31;280;89
646;P.E.I. familys 10-year-old son bumped from overbooked Air Canada flight;4/16/2017;21:04:54;136;39
647;At least 12 burned by noxious substance at Hackney bar;4/17/2017;12:28:43;7;0
648;Remains of Five Archbishops of Canterbury Discovered Under London Museum;4/17/2017;6:56:10;22;2
649;A Saudi womans plea for help exposes risks runaways face;4/16/2017;17:03:13;255;70
650;Source of reported boom in Grandville, Michigan area unknown;4/17/2017;4:34:03;31;13
651;Army charges retired major general with rape against a minor in the 1980s;4/16/2017;15:23:19;287;87
652;Drug-related deaths overburden Maryland medical examiners office;4/17/2017;16:08:27;2;1
653;Hotel Industry Wages War Against Airbnb;4/17/2017;9:03:35;10;6
654;Pot arrests continue in Massachusetts, even after legalization;4/16/2017;3:32:00;2628;326
655;South Korea charges ousted leader Park and Lotte chief with bribery;4/17/2017;13:04:00;6;0
656;After U.S. Talks With Afghanistan, Hints at a Harder Line on Pakistan;4/17/2017;12:02:00;7;0
