provincia;partidoPolitico;sexo;votos
Esmeraldas;UNION ECUATORIANA;M;12
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;24
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;10
Esmeraldas;ALIANZA PROGRESISTA;M;1352
Esmeraldas;UNIDAD POPULAR;F;2930
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;144
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;238
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;79
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;95
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;721
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;9
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;38
Esmeraldas;FUERZA.EC;F;42
Esmeraldas;UNION ECUATORIANA;F;26
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;37
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;20
Esmeraldas;ALIANZA PROGRESISTA;F;2427
Esmeraldas;UNIDAD POPULAR;M;2356
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;156
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;177
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;78
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;77
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;630
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;8
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;52
Esmeraldas;FUERZA.EC;M;41
Esmeraldas;UNION ECUATORIANA;M;23
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;50
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;50
Esmeraldas;ALIANZA PROGRESISTA;M;2144
Esmeraldas;UNIDAD POPULAR;F;289
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;9
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;41
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;22
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;17
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;105
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;1
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;4
Esmeraldas;FUERZA.EC;F;17
Esmeraldas;UNION ECUATORIANA;F;1
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;7
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;4
Esmeraldas;ALIANZA PROGRESISTA;F;119
Esmeraldas;UNIDAD POPULAR;M;298
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;12
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;41
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;29
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;24
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;97
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;2
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;2
Esmeraldas;FUERZA.EC;M;10
Esmeraldas;UNION ECUATORIANA;M;1
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;8
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;2
Esmeraldas;ALIANZA PROGRESISTA;M;106
Esmeraldas;UNIDAD POPULAR;F;129
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;5
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;24
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;16
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;2
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;95
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;1
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;2
Esmeraldas;FUERZA.EC;F;13
Esmeraldas;UNION ECUATORIANA;F;2
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;5
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;15
Esmeraldas;ALIANZA PROGRESISTA;F;42
Esmeraldas;UNIDAD POPULAR;M;148
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;9
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;41
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;18
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;3
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;112
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;1
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;2
Esmeraldas;FUERZA.EC;M;28
Esmeraldas;UNION ECUATORIANA;M;1
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;3
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;10
Esmeraldas;ALIANZA PROGRESISTA;M;48
Esmeraldas;UNIDAD POPULAR;F;379
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;31
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;78
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;20
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;43
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;79
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;5
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;2
Esmeraldas;FUERZA.EC;F;4
Esmeraldas;UNION ECUATORIANA;F;19
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;1
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;23
Esmeraldas;ALIANZA PROGRESISTA;F;131
Esmeraldas;UNIDAD POPULAR;M;329
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;35
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;72
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;20
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;41
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;86
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;4
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;2
Esmeraldas;FUERZA.EC;M;11
Esmeraldas;UNION ECUATORIANA;M;11
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;9
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;27
Esmeraldas;ALIANZA PROGRESISTA;M;98
Esmeraldas;UNIDAD POPULAR;F;193
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;6
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;39
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;21
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;10
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;89
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;3
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;4
Esmeraldas;FUERZA.EC;F;28
Esmeraldas;UNION ECUATORIANA;F;3
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;1
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;9
Esmeraldas;ALIANZA PROGRESISTA;F;45
Esmeraldas;UNIDAD POPULAR;M;208
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;14
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;32
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;37
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;10
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;98
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;3
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;5
Esmeraldas;FUERZA.EC;M;31
Esmeraldas;UNION ECUATORIANA;M;5
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;1
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;5
Esmeraldas;ALIANZA PROGRESISTA;M;50
Esmeraldas;UNIDAD POPULAR;F;628
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;31
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;142
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;13
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;54
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;184
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;1
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;17
Esmeraldas;FUERZA.EC;F;11
Esmeraldas;UNION ECUATORIANA;F;7
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;3
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;4
Esmeraldas;ALIANZA PROGRESISTA;F;310
Esmeraldas;UNIDAD POPULAR;M;571
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;45
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;137
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;21
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;56
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;199
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;2
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;21
Esmeraldas;FUERZA.EC;M;14
Esmeraldas;UNION ECUATORIANA;M;14
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;6
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;8
Esmeraldas;ALIANZA PROGRESISTA;M;262
Esmeraldas;UNIDAD POPULAR;F;213
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;3
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;65
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;76
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;17
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;124
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;3
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;22
Esmeraldas;FUERZA.EC;F;52
Esmeraldas;UNION ECUATORIANA;F;1
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;5
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;5
Esmeraldas;ALIANZA PROGRESISTA;F;117
Esmeraldas;UNIDAD POPULAR;M;237
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;6
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;40
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;79
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;20
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;102
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;0
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;20
Esmeraldas;FUERZA.EC;M;50
Esmeraldas;UNION ECUATORIANA;M;2
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;13
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;8
Esmeraldas;ALIANZA PROGRESISTA;M;98
Esmeraldas;UNIDAD POPULAR;F;510
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;20
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;148
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;9
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;7
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;146
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;0
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;1
Esmeraldas;FUERZA.EC;F;6
Esmeraldas;UNION ECUATORIANA;F;2
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;7
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;3
Esmeraldas;ALIANZA PROGRESISTA;F;312
Esmeraldas;UNIDAD POPULAR;M;429
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;15
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;108
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;17
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;16
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;149
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;1
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;3
Esmeraldas;FUERZA.EC;M;11
Esmeraldas;UNION ECUATORIANA;M;4
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;6
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;5
Esmeraldas;ALIANZA PROGRESISTA;M;294
Esmeraldas;UNIDAD POPULAR;F;1100
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;F;76
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;144
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;40
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;19
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;278
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;F;5
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;F;17
Esmeraldas;FUERZA.EC;F;16
Esmeraldas;UNION ECUATORIANA;F;9
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;F;18
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;F;11
Esmeraldas;ALIANZA PROGRESISTA;F;819
Esmeraldas;UNIDAD POPULAR;M;1074
Esmeraldas;MOVIMIENTO F. COMPROMISO SOCIAL;M;74
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;124
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;31
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;27
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;276
Esmeraldas;MOVIMIENTO SOCIEDAD UNIDA MAS ACCION, SUMA;M;2
Esmeraldas;MOVIMIENTO LIBERTAD ES PUEBLO, LEP;M;19
Esmeraldas;FUERZA.EC;M;15
Esmeraldas;UNION ECUATORIANA;M;13
Esmeraldas;PARTIDO ADELANTE ECUATORIANO ADELANTE;M;8
Esmeraldas;MOVIMIENTO NACIONAL PODEMOS;M;13
Esmeraldas;ALIANZA PROGRESISTA;M;840
Esmeraldas;UNIDAD POPULAR;F;189
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;301
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;56
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;50
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;16
Esmeraldas;MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK;F;41
Esmeraldas;MOVIMIENTO DE ACCION CIUDADANA FENIX;F;6
Esmeraldas;FUERZA.EC;F;15
Esmeraldas;UNIDAD POPULAR;M;202
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;328
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;42
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;54
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;14
Esmeraldas;MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK;M;51
Esmeraldas;MOVIMIENTO DE ACCION CIUDADANA FENIX;M;3
Esmeraldas;FUERZA.EC;M;9
Esmeraldas;UNIDAD POPULAR;F;63
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;222
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;139
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;93
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;6
Esmeraldas;MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK;F;20
Esmeraldas;MOVIMIENTO DE ACCION CIUDADANA FENIX;F;11
Esmeraldas;FUERZA.EC;F;21
Esmeraldas;UNIDAD POPULAR;M;72
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;295
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;135
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;118
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;9
Esmeraldas;MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK;M;18
Esmeraldas;MOVIMIENTO DE ACCION CIUDADANA FENIX;M;17
Esmeraldas;FUERZA.EC;M;21
Esmeraldas;UNIDAD POPULAR;F;660
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;186
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;118
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;83
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;5
Esmeraldas;MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK;F;75
Esmeraldas;MOVIMIENTO DE ACCION CIUDADANA FENIX;F;4
Esmeraldas;FUERZA.EC;F;13
Esmeraldas;UNIDAD POPULAR;M;752
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;157
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;108
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;59
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;6
Esmeraldas;MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK;M;87
Esmeraldas;MOVIMIENTO DE ACCION CIUDADANA FENIX;M;7
Esmeraldas;FUERZA.EC;M;10
Esmeraldas;UNIDAD POPULAR;F;306
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;318
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;213
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;35
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;15
Esmeraldas;MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK;F;171
Esmeraldas;MOVIMIENTO DE ACCION CIUDADANA FENIX;F;6
Esmeraldas;FUERZA.EC;F;11
Esmeraldas;UNIDAD POPULAR;M;331
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;263
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;165
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;35
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;15
Esmeraldas;MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK;M;165
Esmeraldas;MOVIMIENTO DE ACCION CIUDADANA FENIX;M;16
Esmeraldas;FUERZA.EC;M;20
Esmeraldas;UNIDAD POPULAR;F;262
Esmeraldas;PARTIDO SOCIAL CRISTIANO;F;348
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;F;324
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;F;135
Esmeraldas;PARTIDO POLÍTICO AVANZA;F;17
Esmeraldas;MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK;F;443
Esmeraldas;MOVIMIENTO DE ACCION CIUDADANA FENIX;F;25
Esmeraldas;FUERZA.EC;F;38
Esmeraldas;UNIDAD POPULAR;M;289
Esmeraldas;PARTIDO SOCIAL CRISTIANO;M;321
Esmeraldas;MOVIMIENTO DEMOCRACIA SÍ;M;272
Esmeraldas;MOVIMIENTO CREO, CREANDO OPORTUNIDADES;M;139
Esmeraldas;PARTIDO POLÍTICO AVANZA;M;12
Esmeraldas;MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK;M;442
